X (м),Y (м),Z (м),Satellite
16254216.358960627,3395669.2422929844,20738037.566334035,G01 (20.7°)
17670638.04568936,4618611.379522254,19884444.509262066,G02 (21.2°)
19610626.5656243,-7637481.780077851,15968075.732774766,G03 (54.3°)
25741839.343569033,-102552.95501559228,-6843820.108921336,G04 (91.0°)
-13392002.595063344,-6979336.742770893,-22028223.202204067,G05 (175.4°)
-4942186.048942277,-25221099.541075893,6517700.965123953,G06 (114.8°)
10510696.20408481,-12671105.436248612,-20214236.398303468,G07 (138.1°)
25647671.59647593,6214720.449566057,-4839233.3501192685,G08 (82.4°)
21185830.95525238,-7521917.22783681,-14292347.66155412,G09 (113.2°)
-8022042.759067591,22416715.039395403,11649899.770054845,G10 (72.0°)
-12216735.927095704,-22860458.832288068,-5895393.174422337,G11 (141.9°)
-19499894.955289155,3372822.7454250567,17406086.400536414,G12 (89.2°)
-20190502.212112032,-13758162.371260043,-10943266.93562067,G13 (154.5°)
-2016186.1639365298,-15728394.958050586,21331922.165550206,G14 (78.6°)
-20972751.506228432,1526436.757740831,15798905.391737252,G15 (95.0°)
23176345.881294936,2872781.6962977834,-13421964.387409292,G16 (102.6°)
-9688833.063024424,-20994421.77450839,13302585.380981078,G17 (104.8°)
-5673606.143684825,25739380.73078958,-2014530.8769610957,G18 (93.7°)
-5286601.252003763,-15997836.41551457,20501443.494518373,G19 (84.1°)
-18413756.380934916,-3965035.991255913,-18586596.520133752,G20 (164.3°)
15073960.444261,-6535988.440842614,21043924.762141008,G21 (44.8°)
-10274098.628307756,-12570039.900502775,21357916.660277225,G22 (84.9°)
-9291957.199412998,17058052.141848356,18050020.64563277,G23 (63.7°)
-14258689.78717122,11660634.200359264,18526452.88238714,G24 (74.0°)
1197578.1177616566,20682116.33659204,-16594628.789641347,G26 (115.5°)
23005561.41543029,11618578.696564358,7014722.261090186,G27 (51.8°)
6749217.633838704,22026089.73517993,-13233030.245573208,G28 (103.9°)
-21486428.53238685,5550377.122403929,-14729889.58849018,G29 (145.9°)
-1538050.53596535,-25473260.10083016,6996483.121775103,G30 (111.1°)
11596678.107580181,14021600.93165239,-19475868.60193999,G31 (115.4°)
14460936.580438111,20102421.63091535,10113036.16545798,G32 (45.2°)
-19395473.10681764,15751078.533960218,8253669.959284031,G25 (96.2°)
